Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 963.7776215460948.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 971.6753480335076.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 971.6753480335076.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 988.2341474915545.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 988.2341474915545.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1012.6034453535748.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1012.6034453535748.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1070.8640239401054.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1070.8640239401054.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1090.4960180730804.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1090.4960180730804.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 1101.160571433138.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 1101.160571433138.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 1129.4104542760622.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 1129.4104542760622.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 1166.0104176402092.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 1166.0104176402092.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1168.3885907925862.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1168.3885907925862.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1177.950426334116.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1177.950426334116.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1246.281163512092.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1246.281163512092.
TrafficModel.Traffic.1 	 resumes 	 Car.c.80 	 at time 1270.5867610605699.
Car.c.80 	 resumes 	 TrafficModel.Traffic.1 	 at time 1270.5867610605699.
TrafficModel.Traffic.1 	 resumes 	 Car.c.84 	 at time 1284.6873333386611.
Car.c.84 	 resumes 	 TrafficModel.Traffic.1 	 at time 1284.6873333386611.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1285.0368287281265.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1285.0368287281265.
TrafficModel.Traffic.1 	 resumes 	 Car.c.85 	 at time 1324.1737362315978.
Car.c.85 	 resumes 	 TrafficModel.Traffic.1 	 at time 1324.1737362315978.
TrafficModel.Traffic.1 	 resumes 	 Car.c.82 	 at time 1360.3454872469108.
Car.c.82 	 resumes 	 TrafficModel.Traffic.1 	 at time 1360.3454872469108.
TrafficModel.Traffic.1 	 resumes 	 Car.c.83 	 at time 1392.123231122137.
Car.c.83 	 resumes 	 TrafficModel.Traffic.1 	 at time 1392.123231122137.
